t_H,dBz
1.866993443400133401e-05,-4.410339170135557652e-05
1.936200533236842602e-05,-4.122528480365872383e-05
2.006678732868749648e-05,-3.859537173411808908e-05
2.078428224194794893e-05,-3.606383688747882843e-05
2.151449371012859046e-05,-3.361223934916779399e-05
2.225742173322942108e-05,-3.134374128421768546e-05
2.301306994922924787e-05,-2.932210554718039930e-05
2.378143835812807083e-05,-2.749969644355587661e-05
2.456253059790469706e-05,-2.579907049948815256e-05
2.535634666855912656e-05,-2.418843905616085976e-05
2.616288838908076286e-05,-2.266470619360916317e-05
2.698215757845900953e-05,-2.122899604728445411e-05
2.781415605568327010e-05,-1.990181408473290503e-05
2.865888563974294811e-05,-1.870883352239616215e-05
2.951634814962744713e-05,-1.762781903380528092e-05
3.038654358533676714e-05,-1.659101144468877465e-05
3.126947558484971523e-05,-1.556831193738617003e-05
3.216514232917688787e-05,-1.460951716580893844e-05
3.307354563730768859e-05,-1.376919317408464849e-05
3.399468914722092450e-05,-1.302553755522239953e-05
3.492857285891659558e-05,-1.231243550137151033e-05
3.587519677239470184e-05,-1.160500323749147356e-05
3.683456452563405037e-05,-1.093231730919796973e-05
3.780667611863464117e-05,-1.031927968142554164e-05
3.879153155139647424e-05,-9.759044587553944439e-06
3.978913446189835668e-05,-9.236490768671501428e-06
4.079948121216148138e-05,-8.743661965127103031e-06
4.182257544016465545e-05,-8.268898454844020307e-06
4.285842078388668597e-05,-7.802313120919279754e-06
4.390701360534876585e-05,-7.358074071817100048e-06
4.496835754252970219e-05,-6.964010935917031020e-06
4.604245259542949498e-05,-6.621535248996224254e-06
4.712930240202695131e-05,-6.298680091276764870e-06
4.822890332434326410e-05,-5.969707672193180770e-06
4.934125900035724044e-05,-5.642046744469553232e-06
5.046636943006888032e-05,-5.338170467439340428e-06
5.160423825145699084e-05,-5.066808625997509807e-06
5.275486182654276490e-05,-4.821648872166406363e-06
5.391824379330500960e-05,-4.594648089550901204e-06
5.509438415174372494e-05,-4.379780875751748681e-06
5.628328290185891092e-05,-4.170206011622212827e-06
5.748494004365056753e-05,-3.961767106375191361e-06
5.869935921509750187e-05,-3.759133505809586495e-06
5.992654041619971395e-05,-3.573039975890424103e-06
6.116648000897839665e-05,-3.409631972317583859e-06
6.241918163141235709e-05,-3.263022335886489600e-06
6.368464528350159526e-05,-3.119357188552385196e-06
6.496287824120372534e-05,-2.969660272356122732e-06
6.625387322856113315e-05,-2.819245764840161428e-06
6.755763024557381868e-05,-2.681656951608601958e-06
6.887415656819939613e-05,-2.563502221164526418e-06
7.020345219643786550e-05,-2.457858272464363836e-06
7.154550985433161259e-05,-2.352482624701224267e-06
7.290033681783825159e-05,-2.241897391286329366e-06
7.426793308695778251e-05,-2.131906967406393960e-06
7.564829866169020534e-05,-2.033818645941209979e-06
7.704143354203552008e-05,-1.951710373759851791e-06
7.844733772799372673e-05,-1.875843281595734879e-06
7.986601121956482530e-05,-1.793467617972055450e-06
8.129745401674881577e-05,-1.706793455014121719e-06
8.274166611954569817e-05,-1.631261625334445853e-06
8.419865480391308665e-05,-1.572318979015108198e-06
8.566841279389336705e-05,-1.515056965217809193e-06
8.715094008948653936e-05,-1.446160354134917725e-06
8.864624396665021777e-05,-1.374989551550243050e-06
9.015432442538440228e-05,-1.319066313953953795e-06
9.167517418973147869e-05,-1.276190459975623526e-06
9.320880053564906120e-05,-1.228686187459970824e-06
9.475520346313714981e-05,-1.171354142570635304e-06
9.631438297219574451e-05,-1.117893589253071696e-06
9.788633178686723113e-05,-1.077739398169796914e-06
9.947105718310922384e-05,-1.042609937940142117e-06
1.010685591609217227e-04,-1.001968485070392489e-06
1.026788377203047276e-04,-9.587163276592036709e-07
1.043019001372158527e-04,-9.211688620780478232e-07
1.059377391356974840e-04,-8.888568459042289760e-07
1.075863547157496214e-04,-8.557366300010471605e-07
1.092477468773722649e-04,-8.212869033741299063e-07
1.109219228965230286e-04,-7.901373351160145830e-07
1.126088754972442985e-04,-7.630534923919185530e-07
1.143086046795360744e-04,-7.363071290455991402e-07
1.160211177193559706e-04,-7.086425739544210956e-07
1.177464073407463729e-04,-6.828405503256362863e-07
1.194844808196648955e-04,-6.602786015719175339e-07
1.212353381561115384e-04,-6.388412430169410072e-07
1.229989720741286874e-04,-6.166960702103096992e-07
1.247753971256315708e-04,-5.948022590018808842e-07
1.265645987587049603e-04,-5.745586122429813258e-07
1.283665769733488560e-04,-5.555282882596657146e-07
1.301813463214784861e-04,-5.367361950447957497e-07
1.320088922511786222e-04,-5.182432687433902174e-07
1.338492293143644929e-04,-5.006237415727810003e-07
1.357023429591208696e-04,-4.838306608689890709e-07
1.375682477373629808e-04,-4.674556635109183844e-07
1.394469290971755981e-04,-4.515520117820415180e-07
1.413384015904739499e-04,-4.365375616544042714e-07
1.432426506653428078e-04,-4.224434064781235065e-07
1.451596908736974001e-04,-4.089492335879185703e-07
1.470895222155377269e-04,-3.959150376431352925e-07
1.490321301389485598e-04,-3.834951769476901973e-07
1.509875291958451271e-04,-3.718743926128809107e-07
1.529557193862274289e-04,-3.610041687807097333e-07
1.549366861581802368e-04,-3.506098664729506709e-07
1.569304440636187792e-04,-3.402680022190907039e-07
1.589369931025430560e-04,-3.297463990747928619e-07
1.609563187230378389e-04,-3.192438100541039603e-07
1.629884354770183563e-04,-3.093700797762721777e-07
1.650333433644846082e-04,-3.006871907018648926e-07
1.670910423854365945e-04,-2.931285507656866685e-07
1.691615325398743153e-04,-2.859897563212143723e-07
1.712447992758825421e-04,-2.785003516692086123e-07
1.733408571453765035e-04,-2.703703785300604068e-07
1.754497061483561993e-04,-2.620080863380280789e-07
1.775713462848216295e-04,-2.541817138990154490e-07
1.797057775547727942e-04,-2.473501012900669593e-07
1.818529999582096934e-04,-2.413692072877893224e-07
1.840130134951323271e-04,-2.356399448899537674e-07
1.861858181655406952e-04,-2.296192462836188497e-07
1.883714139694347978e-04,-2.233001907825382659e-07
1.905698009068146348e-04,-2.170407071844238089e-07
1.927809789776802063e-04,-2.112298602696682792e-07
1.950049481820315123e-04,-2.059446444491186412e-07
1.972417085198685527e-04,-2.009401782743225340e-07
1.994912599911913276e-04,-1.958693616188611486e-07
2.017536025959998369e-04,-1.907344113760700566e-07
2.040287363342940807e-04,-1.858232963058981113e-07
2.063166612060740590e-04,-1.812429957226413535e-07
2.086173772113397717e-04,-1.768782169619953493e-07
2.109308843500912189e-04,-1.725921094930527033e-07
2.132571826223284006e-04,-1.684690289494028548e-07
2.155962720280513167e-04,-1.646880036787479185e-07
2.179481525672599673e-04,-1.612061168998479843e-07
2.203128387918695807e-04,-1.578612511821120279e-07
2.226903161499649286e-04,-1.545430592386765056e-07
2.250805846415460110e-04,-1.512519247626187280e-07
2.274836442666128278e-04,-1.478695992318534991e-07
2.298994950251653790e-04,-1.443701478365255753e-07
2.323281369172036648e-04,-1.410175514138245489e-07
2.347695844946429133e-04,-1.381691276947094593e-07
2.372238232055678964e-04,-1.356089143200733815e-07
2.396908530499786139e-04,-1.326891236885785474e-07
2.421706740278750658e-04,-1.291536051439834409e-07
2.446633006911724806e-04,-1.256461672483055736e-07
2.471687330398708582e-04,-1.229359156695863931e-07
2.496869419701397419e-04,-1.209658648804179393e-07
2.522179565858095884e-04,-1.189488330055610277e-07
2.547617477830499411e-04,-1.163984819640973001e-07
2.573183446656912565e-04,-1.136065463924751384e-07
2.598877472337335348e-04,-1.111071270543106948e-07
2.624699263833463192e-04,-1.089656365138580441e-07
2.650649112183600664e-04,-1.069540331855023396e-07
2.676727017387747765e-04,-1.049450588652689476e-07
2.702932979445904493e-04,-1.030210086128136027e-07
2.729266707319766283e-04,-1.011332528833008837e-07
2.755728492047637701e-04,-9.914121790188801242e-08
2.782318333629518747e-04,-9.707322590202238644e-08
2.809035941027104855e-04,-9.512071130757249193e-08
2.835881605278700590e-04,-9.339304085642652353e-08
2.862855326384305954e-04,-9.177058757359191077e-08
2.889957104343920946e-04,-9.006610923734115204e-08
2.917186648119240999e-04,-8.824879671465168940e-08
2.944544248748570681e-04,-8.641386273211537628e-08
2.972029906231909990e-04,-8.463649692203034647e-08
2.999643620569258928e-04,-8.295643283418030478e-08
3.027385100722312927e-04,-8.143105389990523690e-08
3.055254637729376554e-04,-8.006946927707758732e-08
3.083252231590449810e-04,-7.877898866581745096e-08
3.111377882305532694e-04,-7.738709939530963311e-08
3.139631298836320639e-04,-7.583632566365849925e-08
3.168012772221118212e-04,-7.430909931827045511e-08
3.196522302459925413e-04,-7.306068994239467429e-08
3.225159889552742243e-04,-7.209726504697755445e-08
3.253925242461264133e-04,-7.113206379472103436e-08
3.282818652223795652e-04,-6.989781553556895233e-08
3.311840118840336800e-04,-6.846278211014578119e-08
3.340989642310887575e-04,-6.717432654568256112e-08
3.370267222635447979e-04,-6.620460624162660679e-08
3.399672568775713444e-04,-6.532566487749136286e-08
3.429205971769988537e-04,-6.421425524649748695e-08
3.458867431618273258e-04,-6.290959220223157899e-08
3.488656948320567608e-04,-6.171887889649951831e-08
3.518574521876871586e-04,-6.079300618466731976e-08
3.548620152287185192e-04,-5.997949159564086585e-08
