t_H,dBz
4.435298615135252476e-05,-6.774287612643092871e-05
4.620053732651285827e-05,-8.044981223065406084e-05
4.808617813978344202e-05,-6.266951095312833786e-05
5.000991950510069728e-05,-7.445579831255599856e-05
5.197176869842223823e-05,-5.792413867311552167e-05
5.397173299570567906e-05,-6.856422260170802474e-05
5.600981603492982686e-05,-5.343103839550167322e-05
5.808602873003110290e-05,-6.282296089921146631e-05
6.020037471898831427e-05,-4.920195351587608457e-05
6.235286127775907516e-05,-5.736323873861692846e-05
6.454349204432219267e-05,-4.526625707512721419e-05
6.677227793261408806e-05,-5.221334504312835634e-05
6.903921894263476133e-05,-4.156798240728676319e-05
7.134432962629944086e-05,-4.738455027109012008e-05
7.368760270765051246e-05,-3.812180875684134662e-05
7.606905273860320449e-05,-4.293063102522864938e-05
7.848867971915751696e-05,-3.493790791253559291e-05
8.094649092527106404e-05,-3.884469333570450544e-05
8.344248635694384575e-05,-3.197840487700887024e-05
8.597667329013347626e-05,-3.509845919325016439e-05
8.854905900079756975e-05,-2.924314321717247367e-05
9.115964348893612623e-05,-3.172096694470383227e-05
9.380843403050675988e-05,-2.676217991393059492e-05
9.649543790146708488e-05,-2.869247509806882590e-05
9.922065510181710124e-05,-2.448480881866998971e-05
1.019840856315568089e-04,-2.595882870082277805e-05
1.047857367666438222e-04,-2.240964022348634899e-05
1.076256157830357552e-04,-2.353380477870814502e-05
1.105037154047749937e-04,-2.054761716863140464e-05
1.134200501837767661e-04,-2.138111267413478345e-05
1.163746201200410724e-04,-1.885468009277246892e-05
1.193674252135679126e-04,-1.945184340002015233e-05
1.223984727403149009e-04,-1.731733027554582804e-05
1.254677627002820373e-04,-1.774690463207662106e-05
1.285752950934693217e-04,-1.595798494236078113e-05
1.317210844717919827e-04,-1.626192715775687248e-05
1.349051162833347917e-04,-1.474591681471792981e-05
1.381274050800129771e-04,-1.493416129960678518e-05
1.413879508618265390e-04,-1.363822048006113619e-05
1.446867536287754774e-04,-1.374701787426602095e-05
1.480238279327750206e-04,-1.264932870981283486e-05
1.513991592219099402e-04,-1.270783013751497492e-05
1.548127620480954647e-04,-1.177716330857947469e-05
1.582646364113315940e-04,-1.179413084173575044e-05
1.617547823116183281e-04,-1.099340079235844314e-05
1.652831997489556670e-04,-1.096972755476599559e-05
1.688498887233436108e-04,-1.027472444548038766e-05
1.724548637866973877e-04,-1.022883679979713634e-05
