t_H,dBz
7.071133586578071117e-05,-3.471236595942173153e-06
7.237769023049622774e-05,-3.280048986198380589e-06
7.406356598949059844e-05,-3.101250058534787968e-06
7.576896314276382327e-05,-2.933971700258553028e-06
7.749388169031590223e-05,-2.777318513835780323e-06
7.923832163214683533e-05,-2.630546987347770482e-06
8.100229024421423674e-05,-2.492946123311412521e-06
8.278578752651810646e-05,-2.363837211305508390e-06
8.458881347905844450e-05,-2.242647951788967475e-06
8.641136810183525085e-05,-2.128778987753321417e-06
8.825345139484852552e-05,-2.021738055191235617e-06
9.011506335809826851e-05,-1.921053581099840812e-06
9.199621126754209399e-05,-1.826292191253742203e-06
9.389689512318000197e-05,-1.737069169394089840e-06
9.581710764905437827e-05,-1.653033791626512539e-06
9.775685612112283707e-05,-1.573794634168734774e-06
9.971614053938537836e-05,-1.499063159826619085e-06
1.016949681797996163e-04,-1.428503992428886704e-06
1.036933317664079368e-04,-1.361889644613256678e-06
1.057112385751679540e-04,-1.298967845286824740e-06
1.077486813301220536e-04,-1.239483481185743585e-06
1.098056673072278500e-04,-1.183256017611711286e-06
1.118821965064853430e-04,-1.130046484831837006e-06
1.139782689278945327e-04,-1.079667867998068687e-06
1.160938845714554191e-04,-1.031945885188179091e-06
1.182290434371680021e-04,-9.867333119473187253e-07
1.203837455250322819e-04,-9.438799679628573358e-07
1.225579908350482583e-04,-9.032482921611517668e-07
1.247517939191311598e-04,-8.646874221085454337e-07
1.269651402253657579e-04,-8.280723022835445590e-07
1.291980297537520528e-04,-7.933042525110067800e-07
1.314504770562052727e-04,-7.602708933518442791e-07
1.337224675808101892e-04,-7.288793995030573569e-07
1.360140158794820309e-04,-6.990326824052317534e-07
1.383251074003055692e-04,-6.706350177410058677e-07
1.406557566951960325e-04,-6.435979003072134219e-07
1.430059637641534209e-04,-6.178696025926910806e-07
1.453757140552625060e-04,-5.933655984335928224e-07
1.477650221204385161e-04,-5.700165388589084614e-07
1.501738879596814513e-04,-5.477552349475445226e-07
1.526023115729913116e-04,-5.265296181278245058e-07
1.550502929603680968e-04,-5.062914283371355850e-07
1.575178321218118072e-04,-4.869701797360903583e-07
1.600049145054072142e-04,-4.685312831043120241e-07
1.625115692149847746e-04,-4.509194013735395856e-07
1.650377816986292601e-04,-4.340997463714302285e-07
1.675835519563406706e-04,-4.180250812169106212e-07
1.701488799881190062e-04,-4.026583155791740865e-07
1.727337657939642668e-04,-3.879639507431420498e-07
1.753382093738764524e-04,-3.739091312127129640e-07
1.779622107278555632e-04,-3.604597793582797749e-07
1.806057844078168273e-04,-3.475862797586160013e-07
1.832689158618450165e-04,-3.352575959070236422e-07
1.859516050899401307e-04,-3.234540599805768579e-07
1.886538666440173984e-04,-3.121407132766762516e-07
1.913756859721615911e-04,-3.013021796505199745e-07
1.941170776262879372e-04,-2.909084173552400898e-07
1.968780270544812083e-04,-2.809481998156115878e-07
1.996585488086566329e-04,-2.713877620408311486e-07
2.024586283368989825e-04,-2.622145416353305336e-07
2.052782801911234856e-04,-2.534129066589230206e-07
2.081175043713301420e-04,-2.449684757266368251e-07
2.109762863256037235e-04,-2.368480949144213810e-07
2.138546406058594584e-04,-2.290549900862970389e-07
2.167525672120973468e-04,-2.215669923089080839e-07
2.196700661443173885e-04,-2.143741824056633050e-07
2.226071228506043553e-04,-2.074537235330353724e-07
2.255637518828734756e-04,-2.008010824283701368e-07
2.285399532411247492e-04,-1.944018066524222377e-07
2.315357269253581762e-04,-1.882512776774092345e-07
2.345510729355737567e-04,-1.823297139935675659e-07
2.375859912717714906e-04,-1.766289869920001365e-07
2.406404819339513779e-04,-1.711391774961157353e-07
2.437145449221134186e-04,-1.658545443206094205e-07
2.468081656843423843e-04,-1.607659214641898870e-07
2.499213733244687319e-04,-1.558614144414605107e-07
2.530541387386620045e-04,-1.511385789854102768e-07
2.562064910307526588e-04,-1.465858048277368653e-07
2.593784302007406950e-04,-1.421928459421906155e-07
2.625699271447956562e-04,-1.379622744934749790e-07
2.657810109667479992e-04,-1.338765684977261117e-07
2.690116525627672672e-04,-1.299400196330680046e-07
2.722618810366839170e-04,-1.261398381302569760e-07
2.755316963884979486e-04,-1.224703396474069450e-07
2.788210695143789053e-04,-1.189325473660574062e-07
2.821300295181572437e-04,-1.155130178176477784e-07
2.854585472960025072e-04,-1.122123478580761002e-07
2.888066519517451525e-04,-1.090232899514376186e-07
2.921743434853851795e-04,-1.059459293628606247e-07
2.955616218969225883e-04,-1.029682152875466272e-07
2.989684580825269222e-04,-1.000926630467802170e-07
3.023948811460286379e-04,-9.731310512961499626e-08
3.058408910874277353e-04,-9.462581829211558215e-08
3.093064588028937578e-04,-9.202553030718263471e-08
3.127916133962571621e-04,-8.951320040750943008e-08
3.162963548675179482e-04,-8.708222054565339931e-08
3.198206832166761160e-04,-8.472833457062733942e-08
3.233645984437316656e-04,-8.245197591350006405e-08
3.269280714448541403e-04,-8.024996844824272557e-08
3.305111313238739967e-04,-7.811495095211284934e-08
3.341137780807912350e-04,-7.604992902088270057e-08
3.377360117156058550e-04,-7.404969437629915774e-08
3.413778322283178568e-04,-7.211394859041320160e-08
3.450392105150967836e-04,-7.023884052159701241e-08
3.487201756797730923e-04,-6.841918320787954144e-08
3.524207277223467827e-04,-6.665609930678328965e-08
3.561408666428178549e-04,-6.495051252386474516e-08
3.598805924411863089e-04,-6.329486268441542052e-08
3.636399051174521446e-04,-6.168996691258143983e-08
3.674188046716153622e-04,-6.013253539549623383e-08
3.712172911036759615e-04,-5.862413132717847475e-08
3.750353353098034859e-04,-5.715901352232322097e-08
3.788729663938283920e-04,-5.574008099529237370e-08
3.827301843557506800e-04,-5.436329786334681557e-08
3.866069891955703497e-04,-5.302506167481624288e-08
3.905033809132874012e-04,-5.172540440412376483e-08
3.944193595089018345e-04,-5.046629070193375810e-08
3.983549249824136496e-04,-4.924329743971611606e-08
4.023100773338228464e-04,-4.805538367236295016e-08
4.062848165631294250e-04,-4.690196675483093713e-08
4.102791426703333855e-04,-4.578043188985247980e-08
4.142930556554347277e-04,-4.469177738997132110e-08
4.183265555184334517e-04,-4.363553429698185937e-08
4.223796422593295574e-04,-4.260622077367770544e-08
4.264523158781230450e-04,-4.160751387871641782e-08
4.305445763748139143e-04,-4.063784331265196670e-08
4.346564237494021654e-04,-3.969334017028813832e-08
4.387878580018877983e-04,-3.877500631688235444e-08
4.429388791322708130e-04,-3.788259306247709901e-08
4.471094871405512094e-04,-3.701588013882428640e-08
4.512997111305594444e-04,-3.617132904309983132e-08
4.555095219984650612e-04,-3.534999848398001632e-08
4.597389197442680597e-04,-3.455039632171974517e-08
4.639879043679684401e-04,-3.377328283704628120e-08
4.682564758695662022e-04,-3.301754958329183864e-08
4.725446342490613461e-04,-3.228151967960002366e-08
4.768523795064538717e-04,-3.156485917088502902e-08
4.811797116417437792e-04,-3.086744726488177548e-08
4.855266306549310684e-04,-3.018720917680184357e-08
4.898931365460157394e-04,-2.952487498930622678e-08
4.942792584188282490e-04,-2.888104688736348180e-08
4.986849380657076836e-04,-2.825341738343922771e-08
5.031102336943149567e-04,-2.764248918651901477e-08
5.075551453046500683e-04,-2.704754820115340408e-08
5.120196146890521049e-04,-2.646806862571793317e-08
5.165037000551819801e-04,-2.590119763112852525e-08
5.210073431953787804e-04,-2.535057852526279021e-08
5.255306023173034191e-04,-2.481370664497717371e-08
5.300734774209558964e-04,-2.429063528097685776e-08
5.346359102986752987e-04,-2.378032704086763260e-08
5.392179591581225395e-04,-2.328252790562146401e-08
5.438195657916367054e-04,-2.279771393887131126e-08
5.484407884068787098e-04,-2.232364515464269061e-08
5.530816270038485527e-04,-2.186194514308681391e-08
5.577420233748853207e-04,-2.141277732903290598e-08
5.624220357276499271e-04,-2.097329065975372941e-08
5.671216058544814587e-04,-2.054587966426879575e-08
5.718407919630408287e-04,-2.012812316820600245e-08
5.765795940533280373e-04,-1.971983465409721248e-08
5.813379539176821709e-04,-1.932153637085320952e-08
5.861159297637641430e-04,-1.893313594791834475e-08
5.909135215915739536e-04,-1.855436870812354755e-08
5.957306711934506893e-04,-1.818398587261071953e-08
6.005674367770552635e-04,-1.782295200314365502e-08
6.054237601347267628e-04,-1.747057964962550614e-08
6.102996994741261005e-04,-1.712620800731201598e-08
6.151952547952532768e-04,-1.678985839248525735e-08
6.201103678904473782e-04,-1.646185765480367991e-08
6.250450969673693180e-04,-1.614093392277027306e-08
6.299994420260190964e-04,-1.582761122165265988e-08
6.349733448587357998e-04,-1.551958916934381705e-08
6.399668636731803417e-04,-1.522209380766526010e-08
6.449799984693527222e-04,-1.493002343977423152e-08
6.500126910395920277e-04,-1.464444565613121085e-08
6.550649995915591717e-04,-1.436698049417373113e-08
6.601369241252541542e-04,-1.409348371339547157e-08
6.652284064330160618e-04,-1.382648573411415782e-08
6.703395047225058079e-04,-1.356592349566199118e-08
6.754702189937233925e-04,-1.331065035969913879e-08
6.806204910390079021e-04,-1.306254393540484671e-08
6.857903790660202503e-04,-1.282038741834412576e-08
6.909798830747604370e-04,-1.258158377481777279e-08
6.961890030652284622e-04,-1.234825219853519229e-08
7.014176808297634125e-04,-1.212116274018626427e-08
7.066659745760262012e-04,-1.189895293407516874e-08
7.119338843040168285e-04,-1.168051344535570024e-08
7.172213518060743809e-04,-1.146712946820116485e-08
7.225284352898597717e-04,-1.126067328272029044e-08
7.278551347553730011e-04,-1.105683544722069200e-08
7.332013919949531555e-04,-1.085543921419684921e-08
